REGION,MANZANA,LOTE,SHAPE_AREA,NOMBRE_COL,CALLE,NIVELES,US_ACT2020,RML
"30","035","006",230.4205925193,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 202,"2",HU,30 035 006
"30","035","026",123.5821129056,VALLE DE VASCONCELOS,ALBERTO C SILLER 217,"2",HU,30 035 026
"30","035","010",128.138953308,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 210,"2",HU,30 035 010
"30","035","014",120.657731354,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 218,"2",HU,30 035 014
"30","035","015",120.243164753,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 220,"2",HU,30 035 015
"30","035","021",123.4868771993,VALLE DE VASCONCELOS,ALBERTO C SILLER 201,"2",HU,30 035 021
"30","035","022",124.3437813175,VALLE DE VASCONCELOS,ALBERTO C SILLER 209,"2",HU,30 035 022
"30","035","016",123.9112587255,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 222,"2",HU,30 035 016
"30","035","020",126.7613323649,VALLE DE VASCONCELOS,ALBERTO C SILLER 205,"2",HU,30 035 020
"30","035","017",119.9810055,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 224,"2",HU,30 035 017
"30","035","019",122.2149228109,VALLE DE VASCONCELOS,ALBERTO C SILLER 203,"2",HU,30 035 019
"30","035","018",187.1094723721,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 302,"2",HU,30 035 018
"30","035","031",156.4673538165,VALLE DE VASCONCELOS,ALBERTO C SILLER 300,"2",HU,30 035 031
"30","035","013",126.0305325677,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 216,"2",HU,30 035 013
"30","035","023",130.3056348801,VALLE DE VASCONCELOS,ALBERTO C SILLER 211,"2",HU,30 035 023
"30","035","012",124.6880766586,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 214,"2",HU,30 035 012
"30","035","024",127.5063001877,VALLE DE VASCONCELOS,ALBERTO C SILLER 213,"0",HU,30 035 024
"30","035","011",118.2580866554,VALLE DE VASCONCELOS,NATIVIDAD GARCIA 212,"0",HU,30 035 011
"30","035","025",118.1026667143,VALLE DE VASCONCELOS,ALBERTO C SILLER 215,"0",HU,30 035 025
